fullname	ipni	authorship	taxonKey	taxonRank	rank
Rettbergia bambusoides Raddi	419308-1	Raddi	4152602	species	Q16
Revealia stevioides R.M.King & H.Rob.	218799-2	R.M.King & H.Rob.	3143122	species	Q16
Reynosia barbatula M.C.Johnst. & Lundell	218807-2	M.C.Johnst. & Lundell	3875410	species	Q16
Reynosia vivesiana Trejo	60450631-2	Trejo	3875015	species	Q16
Rhachidosorus siamensis S.Linds.	77124458-1	S.Linds.	7697820	species	Q16
Rhamnidium riograndense Figueira	77220142-1	Figueira	11880135	species	Q16
Rhamnus acuminata Maguire & Steyerm.	284199-2	Maguire & Steyerm.	7827538	species	Q16
Rhamnus capreifolia var. matudae M.C.Johnst. & L.A.Johnst.	218970-2	M.C.Johnst. & L.A.Johnst.	3876487	variety	Q18
Rhamnus lanceolata var. glabrata Gleason	309478-2	Gleason	6371428	variety	Q18
Rhamnus neblinensis Maguire & Steyerm.	284202-2	Maguire & Steyerm.	3876764	species	Q16
Rhamnus rosei M.C.Johnst. & L.A.Johnst.	219057-2	M.C.Johnst. & L.A.Johnst.	3875341	species	Q16
Rhamnus serrata var. guatemalensis L.A.Johnst.	219070-2	L.A.Johnst.	3874840	variety	Q18
Rhamnus sipapoensis Steyerm.	284204-2	Steyerm.	3874706	species	Q16
Rhamnus wendtii Ishiki	306083-2	Ishiki	3877078	species	Q16
Rhaphidophora bogneri P.C.Boyce & Haigh	77157316-1	P.C.Boyce & Haigh	8999106	species	Q16
Rhaphidophora cretosa P.C.Boyce	1019478-1	P.C.Boyce	5329677	species	Q16
Rhaphidophora cryptantha P.C.Boyce & C.M.Allen	20001450-1	P.C.Boyce & C.M.Allen	5329650	species	Q16
Rhaphidophora intrusa P.C.Boyce	20001456-1	P.C.Boyce	5329662	species	Q16
Rhaphiolepis wuzhishanensis W.B.Liao, R.H.Miao & Q.Fan	77089944-1	W.B.Liao, R.H.Miao & Q.Fan	5598423	species	Q16
Rhapis kebangensis A.J.Hend.	77154792-1	A.J.Hend.	9536907	species	Q16
